3770008976146,MANYANGA 100% PUR BLANC,24,250ml,1200,"1,800"
3770008976153,250ML MANYANGA CITRON,24,250ml,1500,"2,000"
3770008976160,250ML MANYANGA CITRONNELLE,24,250ml,1700,"2,000"
3770008976177,250ML MANYANGA MENTHE POIVREE,24,250ml,1500,"2,000"
3770008976184,250ML MANYANGA YLANG,24,250ml,2000,"2,500"
3770008976191,250ML MANYANGA SAUGE,24,250ml,1500,"2,000"
3770008976207,250ML MANYANGA COCO,24,250ml,2000,"2,500"
3770008976214,250ML MANYANGA ORANGE,24,250ml,2000,"2,500"
3770008976009,250ML MANYANGA ULTRA NOIR ,24,250ml,2000,"2,500"
3701370504101,250ML MANYANGA NOIR/ROUGE UN COTE,24,250ml,2000,"2,500"
3701370504270,250ML MANYANGA AU CALENDULA,24,250ml,2000,"2,500"
3701370504095,250ML MANYANGA ROI DES HERBES,24,250ml,2000,"2,500"
3770008976221,250ML BEURRE DE KARITE PUR,12,250mg,1700,"2,500"
3770008976238,250ML SOIN NOURISSANT CHEVEUX,12,250mg,2300,"3,500"
3701370504262,250ML CREME HYDRATANTE AU CALENDULA,12,250mg,4000,"4,500"
3770008976245,250ML BAUME KARITE VANILLE,12,250mg,2500,"3,000"
3770008976634,SOFT BIOCREAM,12,200 g,4500,"5,000"
3770008976252,60ML HUILE VIERGE DE COCO,24,60ml,3000,"3,500"
3770008976269,100ML HUILE DE KARITE,24,100ml,2500,"3,000"
3770008976276,100ML HUILE DE CAROTTE,24,100ml,1500,"2,000"
3770008976283,100ML HUILE D'AVOCAT,24,100ml,1700,"2,500"
3770008976641,100ML HUILE DE CITRON,24,100ml,2000,"3,500"
3770008976658,100ML HUILE D'AIL,24,100ml,2500,"3,000"
3770008976702,60ML SERUM HUILE DE RICIN,24,60ml,3000,"4,500"
3701370502831,100ML HUILE DE PERSIL,24,100ml,2000,"2,500"
3770008976535,100ML HUILE DE CELERI,24,100ml,2000,"2,500"
3701370502664,100ML HUILE DE CHEBE,24,100ml,2500,"2,500"
3701370502848,100ML HUILE DE SESAME,24,100ml,3500,"4,000"
3701370502688,60ML HUILE DE YLANG-YLANG,24,60ml,3500,"3,500"
3701370502657,60ML HUILE DE FENUGREC,24,60ml,3000,"3,500"
3701370502633,60ML HUILE DE JOJOBA,24,60ml,4000,"3,500"
3701370502640,60ML HUILE DE RICIN,24,60ml,3000,"3,500"
3770008976504,100ML HUILE DE MORINGA,24,100ml,3000,"3,500"
3701370502671,60ML HUILE DE NIGELLE,24,100ml,4000,"4,500"
3701370503531,60ML HUILE D'AMANDE DOUCE,24,60ml,4000,"4,500"
3701370503654,60ML HUILE DE ROSE,24,60ml,4000,"4,500"
3701370503647,60ML HUILE DE BOIS DE SANTAL,24,60ml,4000,"4,500"
3701370502633,60ML HUILE DE CHIA,24,60ml,4000,"4,500"
3701370503661,60ML HUILE DE MYRRE,24,60ml,4000,"4,500"
3701370503630,60ML HUILE DE KIGELIA,24,60ml,4000,"4,500"
3701370503616,100ML HUILE DE CURCUMA,24,100ml,3000,"3,500"
3701370506658,100ML HUILE D'AIL,24,100ml,2500,"3,000"
3770008976733,60ML SOIN NATUREL HLE DE NEEM,24,60ml,4000,"4,500"
3770008976719,60ML SERUM YLANG YLANG,24,60ml,4000,"5,000"
3770008976290,100ML SERUM NOURISSANT MORINGA,24,60ml,4000,"5,000"
3770008976313,100ML SERUM HUILE DE RICIN,24,100ml,4000,"5,000"
3701370504231,LAIT DE TOILETTE A L'ACIDE HYALURONIQUE,12,330ml,4500,"4,950"
3701370504231, LAIT DE TOILETTE AU CALENDULA BEBE BIO,12,300ml,5000,"5,500"
3770008976337,200ML HYDROLAT SAUGE,12,200ml,1500,"2,000"
3770008976344,200ML HYDROLAT MENTHE POIVREE,12,200ml,1500,"2,000"
3770008976351,200ML HYDROLAT ORANGE,12,200ml,1500,"2,000"
3770008976368,200ML HYDRO SAUGE PERSIL CITRN,12,200ml,2000,"2,500"
3770008976375,200ML MENTHE PERSIL CITRON,12,200ml,2000,"2,500"
3701370504248,300ML EAU NETTOYANTE AU CALENDULA,12,300ml,3000,"3,500"
3770008976016,370G CONFIT ANAN COCO,24,370g,1150,"1,700"
3770008976023,370G CONFIT ANAN OSEI,24,370g,1150,"1,700"
3770008976030,370G CONFIT ANAN GING,24,370g,1150,"1,700"
3770008976047,370G CONFIT PAP ORG CA,24,370g,1150,"1,700"
3770008976054,370G CONFIT PAP ORG BAO,24,370g,1150,"1,700"
3770008976061,370G CONFIT PAP ORG GOY,24,370g,1150,"1,700"
3770008976078,370G CONFIT PAP ORG PAS,24,370g,1150,"1,700"
3770008976085,370G CONFIT CASSEMGO,24,370g,1150,"1,700"
3770008976092,370G CONFIT MANGUE SANZO'O,24,370g,1150,"1,700"
3770008976696,370G CONFIT MANG TAMARIN,24,370g,1150,"1,700"
3701370503807,370G CONFIT ANANAS GING POIVRE DE PENJA,24,370g,1500,"2,000"
 ,30G CONFIT TOUS LES PARFUMS,24,30g,375,500
3770008976122,250G MIEL GINGEMBRE SANZO'O,12,370 g,2500,"3,000"
3770008976139,250G MIEL CANELLE SANZO'O,12,370 g,2500,"3,000"
3701370502855,SOPI GEL DOUCHE SPIRULINE,12,330 ml,2000,"3,000"
3770008976399,SOPI GEL DOUCHE BAVE D'ESCARGOT,12,330 ml,2500,"3,000"
3701370502626,SOPI GEL DOUCHE ROI DES HERBES,12,330 ml,2500,"3,500"
3701370502619,SOPI GEL DOUCHE LAIT DE COCO,12,330  ml,2500,"3,000"
3701370504255,SAVON DOUX AU CALENDULA,12,180g,1800,"2,000"
3770008976559,40ML SOLUT ANTITACHE,12,40 ml,3500,"4,000"
3770008976566,40ML SLT ANTIVERGETURE,12,40 ml,3500,"4,000"
3770008976573,40ML CREME ANTI AGE,12,40 ml,3500,"4,000"
3770008976542,40ML CREME TEINT ECLAT,12,40 ml,3500,"4,000"
3770008976603,THE BIO IMMUNITY BOOSTER,24,60g,1750,2500
3770008976610,THE BIO MINCEUR,24,60g,1750,2500
3770008976627,THE BIO VIRILITY BOOSTER,24,60g,1750,2500
,COOKIES,0,0,0,0,0
